Wall time,Step,Value
1731531590.967477,5,638.8582153320312
1731531639.904311,19,628.0177612304688
1731531702.002063,37,625.9446411132812
1731531705.497279,38,625.8565673828125
1731531773.109888,58,624.42578125
1731531783.664459,61,624.2697143554688
1731531793.7002702,64,624.1685791015625
1731531810.646413,69,623.9789428710938
1731531820.6003368,72,623.8921508789062
1731531841.740959,78,623.7119750976562
1731531848.8003871,80,623.6561279296875
1731531852.288001,81,623.6325073242188
1731531870.0904589,86,623.5016479492188
1731531917.8481169,100,623.232177734375
1731531921.425266,101,623.2136840820312
1731531945.1153789,108,623.125244140625
1731531976.2668412,117,622.96484375
1731532016.133523,129,622.8052978515625
1731532023.07077,131,622.7952270507812
1731532043.766041,137,622.7268676757812
1731532133.879468,147,622.6410522460938
1731532147.7362628,151,622.61328125
1731532179.539339,160,622.5609130859375
1731532183.034528,161,622.551025390625
1731532255.464376,182,622.3419799804688
1731532313.935767,193,624.8225708007812
1731532392.467575,212,622.318115234375
1731532406.173383,216,622.2207641601562
1731532416.408365,219,622.1708984375
1731532429.848307,223,622.1307983398438
1731532439.967644,226,622.100341796875
1731532488.948693,240,621.9729614257812
1731532495.9658089,242,621.9578857421875
1731532506.5531158,245,621.9434204101562
1731532510.059828,246,621.9404296875
1731532517.093461,248,621.9188842773438
1731532609.3371599,271,620.6260375976562
1731532695.578039,283,619.8035888671875
1731532797.6601548,309,620.4935913085938
1731532824.633794,317,620.46826171875
1731532834.6792252,320,620.45361328125
1731532873.4373739,331,620.4000854492188
1731532880.463283,333,620.3902587890625
1731532901.5150259,339,620.36376953125
1731532935.769845,349,620.321044921875
1731532942.809964,351,620.3132934570312
1731532978.314121,361,620.2799072265625
1731532996.0448372,366,620.2686157226562
1731533006.478716,369,620.2646484375
1731533027.398665,375,620.2567138671875
1731533083.156935,391,620.2254028320312
1731533124.768272,403,620.2088623046875
1731533148.406949,410,620.1806640625
1731533162.69079,414,620.175048828125
1731533190.125964,422,620.1712036132812
1731533233.087466,435,620.1587524414062
1731533242.884793,438,620.153076171875
1731533269.409931,446,620.1484985351562
1731533272.695144,447,620.148681640625
1731533296.522403,454,620.1455078125
1731533299.901591,455,620.1499633789062
1731533306.7535832,457,620.1481323242188
1731533324.359798,462,620.1397705078125
1731533334.803164,465,620.1376953125
1731533338.084797,466,620.1403198242188
1731533372.598701,476,620.1382446289062
1731533393.52832,482,620.1361083984375
1731533396.8669481,483,620.1339111328125
1731533403.3939352,485,620.1334228515625
1731533417.178611,489,620.1316528320312
1731533451.2136278,499,620.1287841796875
1731533467.941129,504,620.1249389648438
1731533477.736467,507,620.1171875
1731533501.431511,514,620.1251220703125
1731533519.063762,519,620.118408203125
1731533522.577495,520,620.114990234375
1731533526.0836768,521,620.1138305664062
1731533587.7225091,539,620.09130859375
1731533608.923109,545,620.0858154296875
1731534321.969749,564,620.0751953125
1731534339.94601,569,620.0707397460938
1731534368.4640021,577,620.0618896484375
1731534455.0159922,587,620.0563354492188
1731534473.0001228,592,620.0585327148438
1731534476.508231,593,620.04638671875
1731534483.450614,595,620.05859375
1731534511.664125,603,620.0460815429688
1731534572.943444,621,620.0264282226562
1731534583.0179782,624,620.02587890625
1731534599.9704509,629,620.0003662109375
1731534640.389013,641,620.00390625
1731534643.825852,642,620.0153198242188
1731534677.0320928,652,620.0043334960938
1731534700.7741299,659,619.9818115234375
1731534740.578559,671,620.00439453125
1731535696.093579,676,620.0033569335938
1731535769.8824599,698,620.001953125
1731535786.508383,703,619.9868774414062
1731535789.7391942,704,620.0001831054688
1731535796.431764,706,619.9929809570312
1731535835.600631,718,619.98388671875
1731536795.065814,724,619.9894409179688
1731536815.904533,730,619.9844970703125
1731536863.843117,744,620.0076293945312
1731536953.007869,770,619.9732055664062
1731536963.3811681,773,619.9865112304688
1731536966.9308522,774,619.9888916015625
1731537027.503982,792,619.9531860351562
1731537166.123692,833,619.988525390625
1731537175.8273,836,620.0184326171875
1731537192.019682,841,620.008056640625
1731537274.744189,866,619.98486328125
1731537278.0342221,867,619.9857177734375
1731537327.476523,882,619.9674682617188
1731537340.4071438,886,620.0182495117188
1731537417.61702,909,619.9462280273438
1731538450.5208,930,619.9198608398438
1731538554.557389,961,619.9038696289062
1731538561.310508,963,619.9161987304688
1731538564.6495821,964,619.9185791015625
1731538571.60721,966,619.9027709960938
1731538643.226757,987,619.8963623046875
1731538653.376215,990,619.880859375
1731538673.05338,996,619.8947143554688
1731538682.737122,999,619.8899536132812
1731538807.723603,1003,619.8688354492188
1731538811.045246,1004,619.888427734375
1731538814.449167,1005,619.87158203125
1731538821.1340458,1007,619.8683471679688
1731538844.999706,1014,619.8593139648438
1731538851.856825,1016,619.85888671875
1731538855.317209,1017,619.8579711914062
1731538896.428973,1029,619.8557739257812
1731538899.811174,1030,619.8823852539062
1731538919.4942,1036,619.8494873046875
1731538952.6815732,1046,619.8416137695312
1731538998.494408,1060,619.8341674804688
1731539001.902805,1061,619.8319091796875
1731539018.2065952,1066,619.8335571289062
1731539021.430943,1067,619.82421875
1731539031.150072,1070,619.84814453125
1731539037.8255339,1072,619.8391723632812
1731539044.66256,1074,619.841796875
1731539058.130906,1078,619.847412109375
1731539071.635249,1082,619.8438110351562
1731539074.873146,1083,619.823486328125
1731539092.249134,1088,619.8399658203125
1731539129.697963,1099,619.8065795898438
1731539146.2674189,1104,619.8139038085938
1731539162.707305,1109,619.8121337890625
1731539210.17102,1123,619.8047485351562
1731539220.4995399,1126,619.8064575195312
1731539251.637376,1135,619.8143920898438
1731539258.505961,1137,619.8110961914062
1731539268.864917,1140,619.79345703125
1731539293.15242,1147,619.7942504882812
1731539299.9542022,1149,619.8018188476562
1731539314.0972219,1153,619.798095703125
1731539317.568959,1154,619.7976684570312
1731539342.3823428,1161,619.7940673828125
1731539349.241838,1163,619.786865234375
1731539386.069215,1174,619.7941284179688
1731539396.1091342,1177,619.7816162109375
1731539436.1501598,1189,619.7813110351562
1731539452.573592,1194,619.7701416015625
1731539466.439113,1198,619.7623291015625
1731539500.573098,1208,619.770751953125
1731539507.545631,1210,619.758056640625
1731539564.6001122,1226,619.7570190429688
1731539619.179739,1241,619.7559814453125
1731539626.905956,1243,619.7430419921875
1731539630.340796,1244,619.7445068359375
1731539638.154021,1246,619.741943359375
1731539656.783135,1251,619.7406005859375
1731539749.783606,1278,619.7250366210938
1731539776.350868,1286,619.735107421875
1731539822.718295,1300,619.7138671875
1731539832.7412648,1303,619.7302856445312
1731539859.8391109,1311,619.7023315429688
1731539876.949739,1316,619.7003173828125
1731539901.064283,1323,619.69775390625
1731539911.424432,1326,619.6983032226562
1731539998.646633,1352,619.6849975585938
1731540071.7918878,1374,619.6644897460938
1731540114.955269,1387,619.6646118164062
1731540151.2512808,1398,619.64794921875
1731540161.052554,1401,619.6578369140625
1731540177.5801349,1406,619.6405639648438
1731540214.0295942,1417,619.6513671875
1731540234.363659,1423,619.599365234375
1731540282.0519948,1437,619.6021728515625
1731540298.80688,1442,619.5870971679688
1731540322.1670651,1449,619.5960083007812
1731540325.446441,1450,619.624267578125
1731540341.945079,1455,619.6215209960938
1731540348.702452,1457,619.601318359375
1731540355.2617831,1459,619.6068115234375
1731540371.9393642,1464,619.6025390625
1731540395.111213,1471,619.608154296875
1731540408.276445,1475,619.59130859375
1731540414.807318,1477,619.5723876953125
1731540431.379445,1482,619.5847778320312
1731540461.2909608,1491,619.5887451171875
1731540464.6101592,1492,619.5677490234375
1731540524.757548,1510,619.5682983398438
1731540528.027595,1511,619.5591430664062
1731540654.2584069,1549,619.5343627929688
1731540671.270499,1554,619.5410766601562
1731540712.568983,1566,619.52490234375
1731540733.040481,1572,619.520263671875
1731540750.355139,1577,619.52880859375
1731540760.3365,1580,619.523681640625
1731559012.679164,1591,619.5095825195312
1731559033.598289,1597,619.515380859375
1731559037.05257,1598,619.5084228515625
1731559057.250999,1604,619.5062255859375
1731559080.883222,1611,619.5003051757812
1731559152.913389,1632,619.483154296875
1731559166.4337862,1636,619.4810180664062
1731559183.163399,1641,619.4766845703125
1731559243.311871,1659,619.4619140625
1731559307.560462,1678,619.4532470703125
1731559318.211736,1681,619.4506225585938
1731559325.206702,1683,619.4451293945312
1731559342.573828,1688,619.4464721679688
1731559399.565631,1705,619.4351806640625
1731559409.59314,1708,619.4302368164062
1731559446.234108,1719,619.4324340820312
1731559466.273689,1725,619.4246826171875
1731559563.250366,1754,619.41650390625
1731560572.4547682,1776,619.3802490234375
1731560579.4642282,1778,619.3795166015625
1731560590.139507,1781,619.3782348632812
1731560614.3334641,1788,619.3883056640625
1731560645.069058,1797,619.3762817382812
1731560658.596469,1801,619.3629760742188
1731560672.1280031,1805,619.3737182617188
1731560685.739721,1809,619.3668212890625
1731560692.563345,1811,619.3734130859375
1731560749.668944,1828,619.3662109375
1731560759.86941,1831,619.3642578125
1731560773.44417,1835,619.3574829101562
1731560810.563678,1846,619.3484497070312
1731560831.096422,1852,619.33935546875
1731561197.882741,1874,619.3320922851562
1731561348.401833,1887,619.3291625976562
1731561406.119206,1903,619.3218994140625
1731561421.307963,1907,619.3236694335938
1731561447.814218,1914,619.3206176757812
1731561543.518521,1941,619.2950439453125
1731561582.854305,1952,619.2888793945312
1731561621.685389,1963,619.28076171875
1731561628.798655,1965,619.2758178710938
1731561642.893106,1969,619.2742919921875
1731561703.162534,1986,619.271240234375
1731561713.819288,1989,619.2650756835938
1731561763.2192159,2003,619.2677001953125
1731561784.3622699,2009,619.2571411132812
1731561812.918453,2017,619.2509155273438
1731570658.4317691,2033,618.6837768554688
1731570675.779505,2038,618.6630859375
1731570713.401427,2049,618.614013671875
1731570729.9253068,2054,618.6087646484375
1731571408.866146,2074,618.599609375
1731571441.342405,2084,618.5713500976562
1731571454.266177,2088,618.5574951171875
1731571541.04394,2114,618.51708984375
1731571554.086445,2118,618.5094604492188
1731572509.82302,2133,618.4763793945312
1731572513.204059,2134,618.4766235351562
1731572516.604321,2135,618.475341796875
1731572533.3066392,2140,618.4678955078125
1731572549.7332191,2145,618.4878540039062
1731573615.647,2161,618.4546508789062
1731573622.515796,2163,618.4521484375
1731573660.968947,2174,618.4274291992188
1731573664.439774,2175,618.4315185546875
1731573667.908511,2176,618.4349365234375
1731573695.954985,2184,618.4263916015625
1731573702.839404,2186,618.4331665039062
1731573771.266901,2206,618.4105224609375
1731573774.793216,2207,618.413818359375
1731573799.225591,2214,618.3888549804688
1731573816.498176,2219,618.3902587890625
1731573826.383408,2222,618.3765258789062
1731573839.621848,2226,618.3732299804688
1731573852.63668,2230,618.3694458007812
1731573872.166359,2236,618.360107421875
1731573931.2300658,2254,618.3463745117188
1731574911.212111,2261,618.3327026367188
1731574921.4648252,2264,618.3240966796875
1731574957.978435,2275,618.327392578125
1731575054.778721,2304,618.3046264648438
1731575071.2195,2309,618.304443359375
1731575080.93871,2312,618.3074951171875
1731575103.724879,2319,618.2988891601562
1731575129.9287522,2327,618.2893676757812
1731575152.8331509,2334,618.2936401367188
1731575178.76736,2342,618.2803955078125
1731575188.509461,2345,618.2754516601562
1731575195.217911,2347,618.2767333984375
1731575205.0566819,2350,618.2830200195312
1731575228.253291,2357,618.282470703125
1731575238.175539,2360,618.2905883789062
1731575244.836301,2362,618.2921142578125
1731575267.9465868,2369,618.2852172851562
1731575294.524234,2377,618.2940673828125
1731575301.0577102,2379,618.2930908203125
1731575353.740405,2395,618.2536010742188
1731575370.299926,2400,618.2540893554688
1731575403.452965,2410,618.23388671875
1731575406.894974,2411,618.2350463867188
1731575419.9281259,2415,618.2321166992188
1731575429.740211,2418,618.23291015625
1731575436.3558779,2420,618.2371826171875
1731575442.867769,2422,618.23095703125
1731575465.763183,2429,618.2274169921875
1731575469.009575,2430,618.2271728515625
1731575475.505894,2432,618.2308349609375
1731575492.039876,2437,618.2322387695312
1731575505.049098,2441,618.221435546875
1731575508.382535,2442,618.2247314453125
1731575515.059277,2444,618.2211303710938
1731575538.127883,2451,618.2326049804688
1731575541.3733492,2452,618.2391967773438
1731575544.688469,2453,618.23291015625
1731575551.252566,2455,618.2368774414062
1731575610.8921978,2473,618.2254638671875
1731575620.969619,2476,618.2176513671875
1731575686.65073,2496,618.2056884765625
1731575700.1292548,2500,618.2020263671875
1731575703.379306,2501,618.2009887695312
1731575793.158265,2527,615.2767944335938
1731575820.475687,2535,614.849609375
1731575841.468818,2541,614.6190185546875
1731575844.9181492,2542,614.5931396484375
1731575891.0853188,2555,614.2393798828125
1731575925.5497081,2565,614.0450439453125
1731575939.0377421,2569,613.9658203125
1731576013.848028,2591,613.656005859375
1731576034.1204538,2597,613.6044921875
1731576047.7149692,2601,613.5451049804688
1731576081.835884,2611,613.4583129882812
1731576172.8513641,2638,613.1851196289062
1731576183.0913439,2641,613.193115234375
1731576227.7484312,2654,613.0753173828125
1731576234.547342,2656,613.0696411132812
1731576278.226049,2669,612.9708862304688
1731576308.236541,2678,612.9219970703125
1731576334.705894,2686,612.8983764648438
1731576387.81703,2702,612.8421020507812
1731576394.5435588,2704,612.8312377929688
1731576462.376702,2724,612.779541015625
1731576532.878704,2745,612.7026977539062
1731576549.7097569,2750,612.6949462890625
1731576563.17169,2754,612.6802978515625
1731576586.757238,2761,612.665283203125
1731576617.1238568,2770,612.6430053710938
1731576623.9683268,2772,612.6473388671875
1731576661.113446,2783,612.6171264648438
1731576677.746649,2788,612.6093139648438
1731576704.9450119,2796,612.5525512695312
1731576708.284506,2797,612.5486450195312
1731576725.3397949,2802,612.5123901367188
1731576728.7164102,2803,612.4951782226562
1731576782.0535328,2819,612.3427734375
1731576788.5934799,2821,612.3235473632812
1731576821.9710531,2831,612.2514038085938
