Wall time,Step,Value
1732807072.949353,211548,2.615610537759494e-05
1732807118.176903,212548,1.7218848370248452e-05
1732807161.992908,213548,1.446941041649552e-05
1732807206.082198,214548,2.008991395996418e-05
1732807248.883614,215548,1.5158496353251394e-05
1732807292.089937,216548,1.4329755686048884e-05
1732807336.653866,217548,1.4685237147205044e-05
1732807381.4179368,218548,2.4229409973486327e-05
1732807425.9210281,219548,1.6005649740691297e-05
1732807470.860168,220548,1.5007419278845191e-05
1732807515.565959,221548,1.4131721400190145e-05
1732807560.150375,222548,1.5344538041972555e-05
1732807604.813877,223548,1.4416036719921976e-05
1732807649.7135732,224548,2.2681962946080603e-05
1732807694.043339,225548,1.596553011040669e-05
1732807738.5436559,226548,2.7165073333890177e-05
1732807783.386672,227548,1.610994695511181e-05
1732807828.1568809,228548,1.8671822545002215e-05
1732807872.655336,229548,2.2819194782641716e-05
1732807917.311567,230548,1.543579128338024e-05
1732807961.854561,231548,1.8898968846770003e-05
1732808006.2716439,232548,1.5680778233218007e-05
1732808050.843852,233548,1.3440097063721623e-05
1732808093.409371,234548,1.4477524018730037e-05
1732808136.790981,235548,1.8151999029214494e-05
1732808180.423619,236548,3.2176441891351715e-05
1732808222.995268,237548,1.8606584490044042e-05
1732808267.191783,238548,1.4933552847651299e-05
1732808311.903649,239548,1.5377010640804656e-05
1732808356.729634,240548,1.6766838598414324e-05
1732808401.348615,241548,1.372884253214579e-05
1732808445.9132679,242548,1.520024125056807e-05
1732808490.16555,243548,1.4309096513898112e-05
1732808535.3016992,244548,1.3851536095899064e-05
1732808579.9795651,245548,2.404594670224469e-05
1732808624.726891,246548,2.0055253116879612e-05
1732808669.4255428,247548,1.4073301827011164e-05
1732808714.9601579,248548,1.3698290786123835e-05
1732808758.864871,249548,2.8916965675307438e-05
1732808803.505777,250548,2.430413405818399e-05
1732808847.875828,251548,1.6291907741106115e-05
1732808892.599637,252548,1.554142545501236e-05
1732808937.629228,253548,1.4220376215234865e-05
1732808983.37692,254548,1.6133115423144773e-05
1732809027.611558,255548,2.4811310140648857e-05
1732809071.357347,256548,1.5781241017975844e-05
1732809117.2088242,257548,1.4828308849246241e-05
1732809248.686761,259185,1.870556479843799e-05
1732809295.3266299,260185,1.6105841496028006e-05
1732809341.714445,261185,1.4419010767596774e-05
1732809387.727687,262185,1.3511245924746618e-05
1732809433.9622898,263185,1.3246632988739293e-05
1732809479.810965,264185,1.427924962627003e-05
1732809526.252838,265185,1.605444776942022e-05
1732809571.59256,266185,2.275052247568965e-05
1732809616.6109571,267185,1.4224207916413434e-05
1732809662.497684,268185,1.3587784451374318e-05
1732809706.7970939,269185,2.62152843788499e-05
1732809752.144872,270185,1.4821458535152487e-05
1732809796.790549,271185,2.2350355720845982e-05
1732809840.886078,272185,2.132408735633362e-05
1732809884.543179,273185,2.3305761715164408e-05
1732809928.220052,274185,1.581220749358181e-05
1732809972.176024,275185,1.391385194438044e-05
1732810016.2118049,276185,1.4530396583722904e-05
1732810059.974186,277185,1.809430614230223e-05
1732810104.001437,278185,1.3305424545251299e-05
1732810147.682293,279185,1.365589014312718e-05
1732810191.517364,280185,1.570061249367427e-05
1732810235.411443,281185,1.3544554349209648e-05
1732810279.052022,282185,1.3381757526076399e-05
1732810322.6551528,283185,1.2945574781042524e-05
1732810366.3799539,284185,1.2595315638463944e-05
1732810409.9307399,285185,3.56424025085289e-05
1732810453.908436,286185,2.0709907403215766e-05
1732810498.124238,287185,1.859018266259227e-05
1732810541.814541,288185,1.3374142326938454e-05
1732810585.649278,289185,1.4507954801956657e-05
1732810629.3871071,290185,1.321712898061378e-05
1732810673.29712,291185,1.2322355360083748e-05
1732810717.000562,292185,1.2896912267024163e-05
1732810760.564972,293185,1.3142824172973633e-05
1732810804.463827,294185,1.2249326573510189e-05
1732810848.6311638,295185,1.239073299075244e-05
1732810896.730798,296185,1.4898889276082627e-05
1732810942.1869912,297185,2.498611866030842e-05
1732810986.000253,298185,1.5047982742544264e-05
1732811029.827368,299185,1.2695601071754936e-05
1732811073.69734,300185,2.478271744621452e-05
1732811117.811337,301185,2.0974481230950914e-05
1732811161.379439,302185,1.6809182852739468e-05
1732811205.253118,303185,2.1781590476166457e-05
1732811248.882538,304185,1.4143364751362242e-05
1732811292.832164,305185,1.3593237781606149e-05
1732811336.587361,306185,1.233635066455463e-05
1732811380.277426,307185,1.1926907063752878e-05
1732811424.3290722,308185,1.2256520676601212e-05
1732811468.059225,309185,1.1490167707961518e-05
1732811597.287672,310822,2.863730514945928e-05
1732811641.529537,311822,1.7512762497062795e-05
1732811685.7490711,312822,1.3858868442184757e-05
1732811729.943726,313822,1.2667952432821039e-05
1732811774.122398,314822,1.3753006896877196e-05
1732811818.417599,315822,1.5075044757395517e-05
1732811862.6716201,316822,1.223088565893704e-05
1732811906.762805,317822,1.1474829079816118e-05
1732811950.851916,318822,1.1705510587489698e-05
1732811995.342773,319822,1.1381711374269798e-05
1732812039.4994009,320822,3.0479952329187654e-05
1732812083.584384,321822,2.823666000040248e-05
1732812127.537481,322822,1.710952892608475e-05
1732812171.409444,323822,1.3762521120952442e-05
1732812215.386349,324822,1.2294572115933988e-05
1732812259.412616,325822,1.1911868568859063e-05
1732812304.066944,326822,1.1723754141712561e-05
1732812348.131453,327822,1.5408675608341582e-05
1732812392.517996,328822,2.0448214854695834e-05
1732812436.553728,329822,1.3180072528484743e-05
1732812480.8503811,330822,1.6229041648330167e-05
1732812524.695286,331822,1.2294268344703596e-05
1732812568.880743,332822,1.1810689102276228e-05
1732812613.147417,333822,1.3459131878335029e-05
1732812657.0640168,334822,1.1444304618635215e-05
1732812701.012798,335822,1.119197804655414e-05
1732812745.059631,336822,1.1450357305875514e-05
1732812788.935467,337822,1.131306362367468e-05
1732812833.2626848,338822,3.5794833820546046e-05
1732812877.479712,339822,1.973875805560965e-05
